sch_id,name,province,department,is_double_first,has_graduate_school,is_self_line,source_url
302964838,安阳师范学院,河南,河南省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302964838.dhtml
3416381895,宜宾学院,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416381895.dhtml
302961817,宜春学院,江西,江西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302961817.dhtml
688909399,宝鸡文理学院,陕西,陕西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-688909399.dhtml
3416379469,宿州学院,安徽,安徽省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3416379469.dhtml
368300,山东中医药大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368300.dhtml
302975262,山东交通学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302975262.dhtml
368274,山东体育学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368274.dhtml
368295,山东农业大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368295.dhtml
368299,山东医药大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368299.dhtml
688909784,山东工商学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-688909784.dhtml
678916,山东工艺美术学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-678916.dhtml
368301,山东师范大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368301.dhtml
368293,山东建筑大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368293.dhtml
302982783,山东政法学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302982783.dhtml
368279,山东理工大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368279.dhtml
368291,山东科技大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368291.dhtml
368298,山东第一医科大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368298.dhtml
368297,山东第二医科大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368297.dhtml
2807891665,山东航空学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2807891665.dhtml
368275,山东艺术学院,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368275.dhtml
368273,山东财经大学,山东,山东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368273.dhtml
8243981,山西中医药大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-8243981.dhtml
367993,山西农业大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367993.dhtml
367992,山西医科大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367992.dhtml
2125710548,山西大同大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2125710548.dhtml
367998,山西师范大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367998.dhtml
367988,山西省中医药研究院,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367988.dhtml
367987,山西财经大学,山西,山西省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367987.dhtml
3274412898,岭南师范学院,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3274412898.dhtml
678514,川北医学院,四川,四川省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-678514.dhtml
368186,常州大学,江苏,江苏省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368186.dhtml
3274413736,常州工学院,江苏,江苏省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3274413736.dhtml
3274413590,平顶山学院,河南,河南省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-3274413590.dhtml
368420,广东医科大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368420.dhtml
368415,广东外语外贸大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368415.dhtml
368400,广东工业大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368400.dhtml
678246,广东技术师范大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-678246.dhtml
368418,广东海洋大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368418.dhtml
368406,广东省心血管病研究所,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368406.dhtml
368405,广东省社会科学院,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368405.dhtml
2807891606,广东石油化工学院,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-2807891606.dhtml
368427,广东药科大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368427.dhtml
368410,广东财经大学,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368410.dhtml
302975452,广东金融学院,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-302975452.dhtml
368424,广州体育学院,广东,广东省,0,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368424.dhtml
